,loss,grad_norm,learning_rate,epoch,step,eval_en_loss,eval_en_accuracy,eval_en_f1_macro,eval_en_f1_micro,eval_en_precision_macro,eval_en_precision_micro,eval_en_recall_macro,eval_en_recall_micro,eval_en_Neural_acc,eval_en_Neural_f1,eval_en_Environmental_acc,eval_en_Environmental_f1,eval_en_Social_acc,eval_en_Social_f1,eval_en_Governance_acc,eval_en_Governance_f1,eval_en_runtime,eval_en_samples_per_second,eval_en_steps_per_second,eval_en_oof_loss,eval_en_oof_accuracy,eval_en_oof_f1_macro,eval_en_oof_f1_micro,eval_en_oof_precision_macro,eval_en_oof_precision_micro,eval_en_oof_recall_macro,eval_en_oof_recall_micro,eval_en_oof_Neural_acc,eval_en_oof_Neural_f1,eval_en_oof_Environmental_acc,eval_en_oof_Environmental_f1,eval_en_oof_Social_acc,eval_en_oof_Social_f1,eval_en_oof_Governance_acc,eval_en_oof_Governance_f1,eval_en_oof_runtime,eval_en_oof_samples_per_second,eval_en_oof_steps_per_second,eval_vi_loss,eval_vi_accuracy,eval_vi_f1_macro,eval_vi_f1_micro,eval_vi_precision_macro,eval_vi_precision_micro,eval_vi_recall_macro,eval_vi_recall_micro,eval_vi_Neural_acc,eval_vi_Neural_f1,eval_vi_Environmental_acc,eval_vi_Environmental_f1,eval_vi_Social_acc,eval_vi_Social_f1,eval_vi_Governance_acc,eval_vi_Governance_f1,eval_vi_runtime,eval_vi_samples_per_second,eval_vi_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
75,0.3269,1.325107216835022,1.5000000000000002e-05,0.1484375,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.3101,1.425106167793274,1.5200000000000002e-05,0.150390625,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.3339,2.657888174057007,1.54e-05,0.15234375,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0.3083,1.3426032066345215,1.5600000000000003e-05,0.154296875,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.313,1.422548770904541,1.58e-05,0.15625,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,0.15625,80,0.25698161125183105,0.8641098484848485,0.865763257083364,0.8641098484848485,0.8728393209428025,0.8641098484848485,0.8616684270410978,0.8641098484848485,0.8660968660968661,0.8444444444444446,0.9510204081632653,0.9227722772277227,0.8300395256916996,0.8383233532934132,0.7995169082125604,0.8575129533678756,2.7897,823.747,4.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,0.15625,80,,,,,,,,,,,,,,,,,,,,0.4687446653842926,0.5703965053763441,0.5236912611909914,0.5703965053763441,0.5051537190693451,0.5703965053763441,0.6427994258848839,0.5703965053763441,0.5094529871439375,0.6510953608247423,0.7960122699386503,0.5844594594594594,0.6758448060075094,0.508235294117647,0.5898876404494382,0.35097493036211697,6.9395,864.616,4.611,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,0.15625,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2792682945728302,0.8121527777777777,0.8006850090888051,0.8121527777777777,0.8184307209571852,0.8121527777777777,0.7965323148222223,0.8121527777777777,0.8568019093078759,0.8099266779469825,0.952316076294278,0.9203423304805793,0.7915567282321899,0.7807417046193884,0.5854545454545454,0.6917293233082706,3.3103,871.827,4.833,,,,,
83,0.3365,1.6371468305587769,1.6000000000000003e-05,0.158203125,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0.3055,2.3688039779663086,1.62e-05,0.16015625,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
